nome_id,rank1930,rank1940,rank1950,rank1960,rank1970,rank1980,rank1990,rank2000,rank2010
155,826,1247,1559,1404,1503,602,155,64,155
156,687,970,1005,767,360,54,35,68,156
157,0,0,0,2043,2398,2645,2621,596,157
158,0,0,1704,1957,2123,1729,637,222,158
159,0,0,1705,2021,2349,2468,1181,279,159
160,874,1280,1539,1429,967,437,114,117,160
161,0,1330,1688,1986,2139,753,320,145,161
162,0,0,0,0,2374,2494,692,208,162
163,840,1245,1423,1186,798,105,129,120,163
164,0,0,0,0,0,2611,2702,1650,164
165,0,0,0,0,2390,2625,2298,292,165
166,361,401,409,442,478,532,394,313,166
167,468,442,899,1273,1760,1037,437,385,167
168,0,0,1704,2004,2234,2085,367,92,168
169,0,0,0,0,0,2635,2591,368,169
170,8,8,8,13,15,28,55,97,170
171,0,0,0,0,0,2553,1722,443,171
172,791,1184,1564,1826,2001,1540,480,278,172
173,0,1285,1525,1484,1227,686,171,111,173
174,9,12,13,19,23,37,72,115,174
175,0,0,1689,1925,1910,452,389,205,175
176,837,1204,1286,908,633,348,145,106,176
177,864,1311,1593,1711,1397,1082,467,188,177
178,866,1294,1626,1738,899,46,74,125,178
179,488,532,699,687,303,44,32,90,179
180,620,948,1475,1904,2273,2491,2411,348,180
181,271,389,492,472,351,147,76,95,181
182,876,0,1701,1989,2151,830,63,48,182
183,0,0,1705,1996,2223,1036,453,181,183
184,355,352,461,510,638,508,251,183,184
185,768,1071,1119,1266,1529,1418,1051,448,185
186,0,0,0,0,0,2668,2626,913,186
187,283,218,147,111,88,61,50,100,187
188,443,326,208,167,118,60,77,142,188
189,237,238,195,214,207,232,160,128,189
190,375,388,428,519,664,822,611,583,190
191,850,1233,1522,1179,464,205,84,161,191
192,756,1077,1223,677,193,17,16,46,192
193,0,0,1704,2007,2048,972,404,194,193
194,870,1303,1684,2000,2145,1973,1769,522,194
195,856,1266,1626,1827,1767,226,59,107,195
196,463,439,384,286,151,23,56,119,196
197,0,0,0,2040,2391,2606,2409,826,197
198,870,1274,1562,1634,1438,904,730,342,198
199,0,0,1704,2027,2258,2169,2018,1158,199
200,135,168,472,974,1165,1094,683,446,200
201,0,1320,1682,2005,2244,719,806,502,201
202,0,1309,1634,1740,1451,827,420,296,202
203,722,654,328,176,59,13,29,126,203
204,64,48,29,17,19,53,98,143,204
205,778,874,312,141,63,90,165,203,205
206,0,0,0,2041,2382,2105,735,578,206
